phone_number,city,distributor_name,store_type,store_number,country,address2,longitude,store_hours,store_name,state,other_fields,address,latitude,zip_code
(510) 337-9982,Alameda,,,,United States,,,"Mon-Thurs: 10:30am-10pm, Fri-Sat: 10:30am-11pm, Sun: 10:30am-10pm",Alameda,CA,,2640 5th Street,,94501
(925) 755-5030,Antioch,,,,United States,,,"Mon-Thurs: 10:30am-10pm, Fri-Sat: 10:30am-11pm, Sun: 10:30am-10pm",Antioch,CA,,5829 Lone Tree Way,,94531
(408) 369-9201,Campbell,,,,United States,,,"Mon-Thurs: 10:30am-10pm, Fri-Sat: 10:30am-11pm, Sun: 10:30am-10pm",Campbell,CA,,2000 S. Bascom Ave.,,95008
(925) 798-5285,Concord,,,,United States,,,"Mon-Thurs: 10:30am-10pm, Fri-Sat: 10:30am-11pm, Sun: 10:30am-10pm",Concord,CA,,1110 Concord Ave.,,94520
(650) 301-5034,Daly City,,,,United States,,,"Mon-Sat: 10:30am-11pm, Sun: 10:30am-10pm",Daly City,CA,,305 Gellert Blvd.,,94015
(925) 875-9648,Dublin,,,,United States,,,"Mon-Thurs: 10:30am-10pm, Fri-Sat: 10:30am-11pm, Sun: 10:30am-10pm",Dublin,CA,,7295 Amador Plaza Rd.,,94568
(925) 479-0847,Dublin,,,,United States,,,Mon-Sun: 10:30am-10pm,Dublin,CA,,5291 Martinelli Way,,94568
(510) 252-1530,Fremont,,,,United States,,,"Mon-Thurs: 10:30am-10pm, Fri-Sat: 10:30am-11pm, Sun: 10:30am-10pm",Fremont,CA,,43830 Pacific Commons Bl.,,94538
(408) 842-4300,Gilroy,,,,United States,,,Mon-Sun: 10:30am-10pm,Gilroy,CA,,6955 Camino Arroyo,,95020
(925) 371-0833,Livermore,,,,United States,,,Mon-Sun: 10:30am-10pm,Livermore,CA,,2150 Portola Ave.,,94550
(707) 251-8137,Napa,,,,United States,,,"Mon-Thurs: 10:30am-10pm, Fri-Sat: 10:30am-11pm, Sun: 10:30am-10pm",Napa,CA,,1735 Trancas St.,,94558
(707) 224-9905,Napa,,,,United States,,,Mon-Sun: 10:30am-10pm,South Napa,CA,,304 Soscol Avenue,,94559
(415) 897-6100,Novato,,,,United States,,,Mon-Sun: 10:30am-10pm,Novato,CA,,924 Diablo Avenue,,94947
(510) 595-6675,Oakland,,,,United States,,,"Mon-Thurs: 10:30am-10pm, Fri-Sat: 10:30am-11pm, Sun: 10:30am-10pm",Oakland,CA,,5108 Broadway,,94611
(707) 778-8301,Petaluma,,,,United States,,,Mon-Sun: 10:30am-10pm,Petaluma,CA,,447 N. McDowell Blvd,,94954
(510) 243-5188,Pinole,,,,United States,,,"Mon-Thurs: 10:30am-10pm, Fri-Sat: 10:30am-11pm, Sun: 10:30am-10pm",Pinole,CA,,1412 Pinole Valley Road,,94564
(925) 485-3260,Pleasanton,,,,United States,,,"Mon-Thurs: 10:30am-10pm, Fri-Sat: 10:30am-11pm, Sun: 10:30am-10pm",Pleasanton,CA,,6770 Bernal Avenue,,94588
(650) 568-1625,Redwood City,,,,United States,,,"Mon-Thurs: 10:30am-10pm, Fri-Sat: 10:30am-11pm, Sun: 10:30am-10pm",Redwood City,CA,,1111 El Camino Real,,94063
(707) 585-7960,Rohnert Park,,,,United States,,,"Mon-Thurs: 10:30am-12am, Fri-Sat: 10:30am-3am, Sun: 10:30am-12am",Rohnert Park,CA,,630 Park Court,,94928
(408) 613-2578,San Jose,,,,United States,,,"Mon-Thurs: 10:30am-10pm, Fri-Sat: 10:30am-11pm, Sun: 10:30am-10pm",San Jose,CA,,5018 Almaden Expressway,,95118
(408) 437-8840,San Jose,,,,United States,,,Mon-Sun: 10:30am-10pm,San Jose,CA,,1078 E. Brokaw Road,,95131
(510) 895-8895,San Leandro,,,,United States,,,"Mon-Thurs: 10:30am-10pm, Fri-Sat: 10:30am-11pm, Sun: 10:30am-10pm",San Leandro,CA,,1540 E. 14th Street,,94577
(650) 286-9944,San Mateo,,,,United States,,,Mon-Sun: 10:30am-10pm,San Mateo,CA,,1100 Park Place,,94403
(925) 355-9672,San Ramon,,,,United States,,,"Mon-Thurs: 10:30am-10pm, Fri-Sat: 10:30am-11pm, Sun: 10:30am-10pm",San Ramon,CA,,3121 Crow Canyon Place,,94583
(408) 244-2856,Santa Clara,,,,United States,,,"Mon-Thurs: 10:30am-10pm, Fri-Sat: 10:30am-11pm, Sun: 10:30am-10pm",Santa Clara,CA,,2000 El Camino Real,,95050
(408) 774-9015,Sunnyvale,,,,United States,,,"Mon-Thurs: 10:30am-10pm, Fri-Sat: 10:30am-11pm, Sun: 10:30am-10pm",Sunnyvale,CA,,146 W. El Camino Real,,94087
(707) 452-0292,Vacaville,,,,United States,,,Mon-Sun: 10:30am-10pm,Vacaville,CA,,1640 E. Monte Vista Avenue,,95688
(707) 644-4432,Vallejo,,,,United States,,,"Mon-Sat: 10:30am-12am, Sun: 10:30am-11pm",Vallejo,CA,,118 Plaza Drive,,94591
(925) 296-9672,Walnut Creek,,,,United States,,,"Mon-Thurs: 10:30am-10pm, Fri-Sat: 10:30am-11pm, Sun: 10:30am-10pm",Walnut Creek,CA,,1504 Geary Rd.,,94597
(925) 279-2286,Walnut Creek,,,,United States,,,"Mon-Thurs: 10:30am-10pm, Fri-Sat: 10:30am-11pm, Sun: 10:30am-10pm",Walnut Creek,CA,,1255 S. California Blvd.,,94596
(661) 322-2356,Bakersfield,,,,United States,,,"Mon-Sat: 10:30am-11pm, Sun: 10:30am-10pm",Bakersfield,CA,,3900 California Ave.,,93309
(661) 829-5283,Bakersfield,,,,United States,,,"Mon-Sat: 10:30am-11pm, Sun: 10:30am-10pm",Bakersfield,CA,,5503 Calloway Dr,,93312
(559) 299-2481,Clovis,,,,United States,,,"Mon-Thurs: 10:30am-10pm, Fri-Sat: 10:30am-11pm, Sun: 10:30am-10pm",Clovis,CA,,1195 Herndon Ave.,,93612
(559) 433-8815,Fresno,,,,United States,,,"Mon-Thurs: 10:30am-10pm, Fri-Sat: 10:30am-11pm, Sun: 10:30am-10pm",Fresno,CA,,8480 North Friant Rd.,,93720
(559) 226-2128,Fresno,,,,United States,,,"Mon-Thurs: 10:30am-10pm, Fri-Sat: 10:30am-11pm, Sun: 10:30am-10pm",Fresno,CA,,702 West Shaw Ave.,,93704
(559) 582-8200,Hanford,,,,United States,,,"Mon-Thurs: 10:30am-10pm, Fri-Sat: 10:30am-11pm, Sun: 10:30am-9pm",Hanford,CA,,1731 West Lacey Bl.,,93230
(209) 571-1382,Modesto,,,,United States,,,"Mon-Thurs: 10:30am-10pm, Fri-Sat: 10:30am-11pm, Sun: 10:30am-10pm",Modesto,CA,,1801 McHenry Avenue,,95350
(805) 542-0105,San Luis Obispo,,,,United States,,,"Mon-Thurs: 10:30am-10pm, Fri-Sat: 10:30am-11pm, Sun: 10:30am-10pm",San Luis Obispo,CA,,839 Higuera Street,,93401
(209) 955-1164,Stockton,,,,United States,,,"Mon-Thurs: 10:30am-10pm, Fri-Sat: 10:30am-11pm, Sun: 10:30am-10pm",Stockton,CA,,2829 W. March Lane,,95219
(661) 858-2639,Tejon Ranch,,,,United States,,,"Mon-Sat: 10:30am-11pm, Sun: 10:30am-10pm",Tejon Ranch,CA,,5545 Laval Road,,93203
(559) 625-5700,Visalia,,,,United States,,,"Mon-Sat: 10:30am-11pm, Sun: 10:30am-10pm",Visalia,CA,,604 S. Mooney Blvd.,,93277
(818) 707-7300,Agoura Hills,,,,United States,,,"Mon-Sat: 10:30am-10pm, Sun: 10:30am-9pm",Agoura Hills,CA,,29145 Canwood Street,,91301
(626) 289-8851,Alhambra,,,,United States,,,Mon-Sun: 10:30am-10pm,Alhambra,CA,,100 E Main St.,,91801
(626) 334-1800,Azusa,,,,United States,,,"Mon-Thurs: 10:30am-10pm, Fri-Sat: 10:30am-11pm, Sun: 10:30am-10pm",Azusa,CA,,834 E. Alosta Avenue,,91702
(818) 260-0083,Burbank,,,,United States,,,"Mon-Sat: 10:30am-11pm, Sun: 10:30am-10pm",Burbank,CA,,103 East Alameda Ave.,,91502
(805) 484-2950,Camarillo,,,,United States,,,"Mon-Sat: 10:30am-10pm, Sun: 10:30am-9:30pm",Camarillo,CA,,1855 Daily Dr.,,93010
,Cerritos,,,,United States,,,Mon-Sun: 10:30am-10pm,Cerritos,CA,,11257 183rd St.,,90703
(818) 773-0257,Chatsworth,,,,United States,,,"Mon-Sat: 10:30am-11pm, Sun: 10:30am-10pm",Chatsworth,CA,,9243 Winnetka Ave.,,91311
(562) 869-9900,Downey,,,,United States,,,"Mon-Thurs: 10:30am-10pm, Fri-Sat: 10:30am-11pm, Sun: 10:30am-10pm",Downey,CA,,8619 Firestone Blvd.,,90241
(626) 351-1122,East Pasadena,,,,United States,,,"Mon-Thurs: 10:30am-10pm, Fri-Sun: 10:30am-11pm",Pasadena,CA,,3733 E. Foothill Blvd.,,91107
(310) 524-9016,El Segundo,,,,United States,,,"Mon-Sat: 10:30am-11pm, Sun: 10:30am-10pm",El Segundo,CA,,311 N. Sepulveda Blvd.,,90245
(818) 783-6162,Encino,,,,United States,,,"Mon-Sat: 10:30am-10pm, Sun: 10:30am-9pm",Encino,CA,,17132 Ventura Blvd.,,91316
(818) 246-6095,Glendale,,,,United States,,,"Mon-Sat: 10:30am-11pm, Sun: 10:30am-10pm",Glendale,CA,,249  Glendale Ave.,,91206
(805) 964-0366,Goleta,,,,United States,,,"Mon-Sat: 10:30am-9pm, Sun: 11am-8pm",Goleta,CA,,5735 Hollister Ave.,,93117
(805) 685-7474,Isla Vista,,,,United States,,,"Mon-Thurs: 10am-10pm, Fri-Sat: 10am-12am, Sun: 10am-9pm",Isla Vista,CA,,888 Embarcadero del Norte,,93117
(818) 952-2910,La Canada,,,,United States,,,"Mon-Thurs: 10:30am-10pm, Fri-Sat: 10:30am-11pm, Sun: 10:30am-10pm",La Canada,CA,,990 Town Center Drive,,91011
(909) 593-1640,La Verne,,,,United States,,,"Mon-Sat: 10:30am-10pm, Sun: 10:30am-9:30pm",La Verne,CA,,1608 Foothill Blvd.,,91750
(805) 741-7330,Lompoc,,,,United States,,,"Mon-Thurs: 10am-10pm, Fri-Sat: 10am-11pm, Sun: 10:30am-9pm",Lompoc,CA,,1413 North H Street,,93436
(562) 425-1500,Long Beach,,,,United States,,,"Mon-Thurs: 10:30am-10pm, Fri-Sat: 10:30am-11pm, Sun: 10:30am-10pm",Long Beach,CA,,3801 Lakewood Bl.,,90808
(323) 256-2629,Los Angeles,,,,United States,,,"Mon-Thurs: 10:30am-10pm, Fri-Sat: 10:30am-11pm, Sun: 10:30am-10pm",Eagle Rock,CA,,7307 N. Figueroa Street,,90041
,Los Angeles,,,,United States,,,Mon-Sun: 5am-1am,LAX,CA,,"201 World Way, Los Angeles International Airport, Terminal 6",,90045
,Los Angeles,,,,United States,,,"Mon-Thurs: 10am-8pm, Fri: 10am-5pm, Sat-Sun: 11:30am-6pm",University of Southern California,CA,,University of Southern California,,90089
(323) 721-1356,Montebello,,,,United States,,,"Mon-Thurs: 10:30am-10pm, Fri-Sat: 10:30am-11pm, Sun: 10:30am-10pm",Montebello,CA,,545 N. Montebello Blvd.,,90640
(805) 375-9227,Newbury Park,,,,United States,,,"Mon-Sat: 10:30am-10pm, Sun: 10:30am-9:30pm",Newbury Park,CA,,1025 Broadbeck Ln.,,91320
(818) 762-1995,North Hollywood,,,,United States,,,"Mon-Sat: 10:30am-11pm, Sun: 10:30am-10pm",North Hollywood,CA,,4770 Lankershim Blvd.,,91602
(818) 993-7113,Northridge,,,,United States,,,"Mon-Sat: 10:30am-12am, Sun: 10:30am-11pm",Northridge,CA,,9215 Reseda Blvd.,,91324
(562) 863-3061,Norwalk,,,,United States,,,"Mon-Sat: 10:30am-10pm, Sun: 10:30am-9:30pm",Norwalk,CA,,12401 South Norwalk Blvd.,,90650
(805) 981-9919,Oxnard,,,,United States,,,"Mon-Sat: 10:30am-10pm, Sun: 10:30am-9:30pm",Oxnard,CA,,2350 Vineyard Dr.,,93036
(661) 575-9560,Palmdale,,,,United States,,,"Mon-Thurs: 10:30am-10pm, Fri-Sat: 10:30am-11pm, Sun: 10:30am-10pm",Palmdale,CA,,748 W. Rancho Vista Blvd.,,93551
(562) 633-6364,Paramount,,,,United States,,,"Mon-Thurs: 10:30am-10pm, Fri-Sat: 10:30am-11pm, Sun: 10:30am-10pm",Paramount,CA,,15754 Paramount Blvd,,90723
(562) 948-2900,Pico Rivera,,,,United States,,,"Mon-Sat: 10:30am-10pm, Sun: 10:30am-9:30pm",Pico Rivera,CA,,8988 Washington Blvd.,,90660
(310) 377-2044,Rolling Hills Estates,,,,United States,,,"Mon-Sat: 10:30am-10pm, Sun: 10:30am-9:30pm",Rolling Hills,CA,,4-B Peninsula Center,,90274
(626) 280-8146,Rosemead,,,,United States,,,"Mon-Thurs: 10:30am-10pm, Fri-Sat: 10:30am-11pm, Sun: 10:30am-10pm",Rosemead,CA,,3610 Rosemead Blvd.,,91770
(626) 810-5787,Rowland Heights,,,,United States,,,"Mon-Thurs: 10:30am-10pm, Fri-Sat: 10:30am-11pm, Sun: 10:30am-10pm",Rowland Heights,CA,,17490 Colima Road,,91784
