phone_number,city,distributor_name,store_type,store_number,country,address2,longitude,store_hours,store_name,state,other_fields,address,latitude,zip_code
203-686-0462,MERIDEN,,,,US,WESTFIELD SHOPPINGTOWN MERIDEN,-72.8101,"12/24/2016 7:00am - 6:00pm,12/25/2016 Closed,12/31/2016 9:00am - 7:00pm,1/1/2017 9:00am - 7:00pm",MERIDEN,CT,,470 LEWIS AVENUE,41.5512,06451
860-666-3877,NEWINGTON,,,,US,TURNPIKE PLAZA,-72.7217,"12/24/2016 7:00am - 6:00pm,12/25/2016 Closed,12/31/2016 9:00am - 7:00pm,1/1/2017 9:00am - 7:00pm",NEWINGTON,CT,,2985 BERLIN TURNPIKE,41.6684,06111
860-747-2102,PLAINVILLE,,,,US,CONNECTICUT COMMONS,-72.84,"12/24/2016 7:00am - 6:00pm,12/25/2016 Closed,12/31/2016 9:00am - 7:00pm,1/1/2017 9:00am - 7:00pm",PLAINVILLE,CT,,280 NEW BRITAIN AVENUE,41.6732,06062
203-836-2860,NORTH HAVEN,,,,US,HOME DEPOT PLAZA,-72.8718,"12/24/2016 7:00am - 6:00pm,12/25/2016 Closed,12/31/2016 9:00am - 7:00pm,1/1/2017 9:00am - 7:00pm",NORTH HAVEN,CT,,411 UNIVERSAL DRIVE NORTH,41.3513,06473
860-693-1619,CANTON,,,,US,SHOPPES AT FARMINGTON VALLEY,-72.8805,"12/24/2016 7:00am - 6:00pm,12/25/2016 Closed,12/31/2016 9:00am - 7:00pm,1/1/2017 9:00am - 7:00pm",CANTON,CT,,110 ALBANY TURNPIKE,41.8212,06019
860-648-4044,MANCHESTER,,,,US,THE PAVILIONS AT BUCKLAND HILLS,-72.5471,"12/24/2016 7:00am - 6:00pm,12/25/2016 Closed,12/31/2016 9:00am - 7:00pm,1/1/2017 9:00am - 7:00pm",BUCKLAND HILLS,CT,,179 PAVILLION DRIVE,41.8067,06042
203-876-0477,MILFORD,,,,US,WESTFIELD SHOPPINGTON CENTER,-73.0382,"12/24/2016 7:00am - 6:00pm,12/25/2016 Closed,12/31/2016 9:00am - 7:00pm,1/1/2017 9:00am - 7:00pm",MILFORD,CT,,1201 BOSTON POST ROAD,41.2343,06460
860-253-9475,ENFIELD,,,,US,STATE LINE PLAZA,-72.5756,"12/24/2016 7:00am - 6:00pm,12/25/2016 Closed,12/31/2016 9:00am - 7:00pm,1/1/2017 9:00am - 7:00pm",ENFIELD,CT,,130 ELM STREET,41.9949,06082
860-447-2886,WATERFORD,,,,US,WATERFORD COMMONS,-72.1522,"12/24/2016 7:00am - 6:00pm,12/25/2016 Closed,12/31/2016 9:00am - 7:00pm,1/1/2017 9:00am - 7:00pm",WATERFORD,CT,,"915 HARTFORD TURNPIKE, #A1",41.3829,06385
860-376-4141,LISBON,,,,US,LISBON LANDING,-71.9914,"12/24/2016 7:00am - 6:00pm,12/25/2016 Closed,12/31/2016 9:00am - 7:00pm,1/1/2017 9:00am - 7:00pm",LISBON,CT,,"170 RIVER ROAD, SUITE 2",41.5814,06351
302-678-9160,DOVER,,,,US,DOVER MALL,-75.5391347019113,"12/24/2016 7:00am - 6:00pm,12/25/2016 Closed,12/31/2016 9:00am - 7:00pm,1/1/2017 9:00am - 7:00pm",DOVER,DE,,"1365 N DUPONT HIGHWAY, SUITE 6000",39.1930728788528,19901
