phone_number,city,distributor_name,store_type,store_number,country,address2,longitude,store_hours,store_name,state,other_fields,address,latitude,zip_code
+1 4049481516,ATLANTA,,Mall,3797,United States,,-84.3635,"20170419 : 10:00-21:00 , 20170420 : 10:00-21:00 , 20170421 : 10:00-21:00 , 20170422 : 10:00-21:00 , 20170423 : 11:00-19:00 , 20170424 : 10:00-21:00 , 20170425 : 10:00-21:00 ",LENOX SQUARE,GA,,"3393, PEACHTREE ROAD NE",33.8463,30326
+1 7706985256,ATLANTA,,Mall,3941,United States,,-84.341,"20170419 : 10:00-21:00 , 20170420 : 10:00-21:00 , 20170421 : 10:00-21:00 , 20170422 : 10:00-21:00 , 20170423 : 12:00-19:00 , 20170424 : 10:00-21:00 , 20170425 : 10:00-21:00 ",PERIMETER MALL,GA,,"4400, ASHFORD DUNWOODY ROAD SPACE 2555",33.9217,30346
+1 8138726847,TAMPA,,Mall,3859,United States,,-82.5208,"20170419 : 10:00-21:00 , 20170420 : 10:00-21:00 , 20170421 : 10:00-21:00 , 20170422 : 10:00-21:00 , 20170423 : 11:00-18:00 , 20170424 : 10:00-21:00 , 20170425 : 10:00-21:00 ",INTERNATIONAL PLAZA AND BAY STREET,FL,,"2223, NORTH WESTSHORE BOULEVARD SPACE 288",27.9643,33607
+1 4075609199,ORLANDO,,Mall,3874,United States,,-81.52151,,DISNEY SPRINGS ORLANDO,FL,,"1494, BUENA VISTA DR",28.37008,32830
+1 4078124289,ORLANDO,,Mall,3986,United States,,-81.39282,"20170419 : 10:00-21:00 , 20170420 : 10:00-21:00 , 20170421 : 10:00-21:00 , 20170422 : 10:00-22:00 , 20170423 : 12:00-20:00 , 20170424 : 10:00-21:00 , 20170425 : 10:00-21:00 ",THE FLORIDA MALL,FL,,"8001, S ORANGE BLOSSOM TRAIL SPACE 1450-9",28.44546,32809
+1 2812863301,FRIENDSWOOD,,Mall,10286,United States,,-95.14868,"20170419 : 10:00-21:00 , 20170420 : 10:00-21:00 , 20170421 : 10:00-21:00 , 20170422 : 10:00-21:00 , 20170423 : 12:00-18:00 , 20170424 : 10:00-21:00 , 20170425 : 10:00-21:00 ",BAYBROOK MALL,TX,,"500, BAYBROOK MALL ROAD",29.54257,77546
+1 7134390995,HOUSTON,,Mall,3347,United States,,-95.46295,"20170419 : 10:00-21:00 , 20170420 : 10:00-21:00 , 20170421 : 10:00-21:00 , 20170422 : 10:00-21:00 , 20170423 : 11:00-19:00 , 20170424 : 10:00-21:00 , 20170425 : 10:00-21:00 ",HOUSTON GALLERIA,TX,,"5085, WESTHEIMER ROAD",29.74055,77056
+1 2819555055,HOUSTON,,Mall,10737,United States,,-95.5392,"20170419 : 10:00-21:00 , 20170420 : 10:00-21:00 , 20170421 : 10:00-21:00 , 20170422 : 10:00-21:00 , 20170423 : 12:00-18:00 , 20170424 : 10:00-21:00 , 20170425 : 10:00-21:00 ",WILLOWBROOK MALL,TX,,"2000, WILLOWBROOK DR.",29.96003,77070
+1 7139732277,HOUSTON,,Mall,1223,United States,,-95.53998,"20170419 : 10:00-21:00 , 20170420 : 10:00-21:00 , 20170421 : 10:00-21:00 , 20170422 : 10:00-21:00 , 20170423 : 11:00-19:00 , 20170424 : 10:00-21:00 , 20170425 : 10:00-21:00 ",MEMORIAL CITY,TX,,"303, MEMORIAL CITY WAY",29.78102,77024
+1 214 3604771,DALLAS,,Mall,6477,United States,,-96.77253,"20170419 : 10:00-21:00 , 20170420 : 10:00-21:00 , 20170421 : 10:00-21:00 , 20170422 : 10:00-21:00 , 20170423 : 12:00-18:00 , 20170424 : 10:00-21:00 , 20170425 : 10:00-21:00 ",NORTH PARK MALL,TX,,"8687, NORTH CENTRAL EXPRESSWA",32.86685,75225
+1 9723920622,DALLAS,,Mall,3486,United States,,-96.81959,"20170419 : 10:00-21:00 , 20170420 : 10:00-21:00 , 20170421 : 10:00-21:00 , 20170422 : 10:00-21:00 , 20170423 : 12:00-18:00 , 20170424 : 10:00-21:00 , 20170425 : 10:00-21:00 ",GALLERIA DALLAS,TX,,"13350, NORTH DALLAS PARKWAY",32.92996,75240
+1 5124910920,AUSTIN,,Mall,3950,United States,,-97.7275,"20170419 : 10:00-21:00 , 20170420 : 10:00-21:00 , 20170421 : 10:00-21:00 , 20170422 : 10:00-21:00 , 20170423 : 12:00-18:00 , 20170424 : 10:00-21:00 , 20170425 : 10:00-21:00 ",THE DOMAIN,TX,,"3409, ESPERANZA CROSSING SPACE P-100",30.4009,78758
