phone_number,city,distributor_name,store_type,store_number,country,address2,longitude,store_hours,store_name,state,other_fields,address,latitude,zip_code
"480-990-2100, 800-937-6379",Scottsdale,,,,Canada,,,"Mon.- 10:00AM - 7:00PM, Tue.- 10:00AM - 7:00PM, Wed.- 10:00AM - 7:00PM, Thu.- 10:00AM - 7:00PM, Fri.- 10:00AM - 6:00PM, Sat.- 10:00AM - 6:00PM, Sun.- 12:00PM - 6:00PM",Neiman Marcus Scottsdale,AZ,,6900 E Camelback Rd,,85251
"310-550-5900, 877-634-6263",Beverly Hills,,,,Canada,,,"Mon.- 10:00AM - 7:00PM, Tue.- 10:00AM - 7:00PM, Wed.- 10:00AM - 7:00PM, Thu.- 10:00AM - 8:00PM, Fri.- 10:00AM - 7:00PM, Sat.- 10:00AM - 7:00PM, Sun.- 12:00PM - 6:00PM",Neiman Marcus Beverly Hills,CA,,9700 Wilshire Boulevard,,90212
"949-759-1900, 800-395-1036",Newport Beach,,,,Canada,,,"Mon.- 10:00AM - 8:00PM, Tue.- 10:00AM - 8:00PM, Wed.- 10:00AM - 8:00PM, Thu.- 10:00AM - 8:00PM, Fri.- 10:00AM - 8:00PM, Sat.- 10:00AM - 7:00PM, Sun.- 11:00AM - 6:00PM",Neiman Marcus Newport Beach,CA,,601 Newport Center Drive,,92660
"650-329-3300, 877-877-3907",Palo Alto,,,,Canada,,,"Mon.- 10:00AM - 8:00PM, Tue.- 10:00AM - 8:00PM, Wed.- 10:00AM - 8:00PM, Thu.- 10:00AM - 8:00PM, Fri.- 10:00AM - 8:00PM, Sat.- 10:00AM - 7:00PM, Sun.- 11:00AM - 6:00PM",Neiman Marcus Palo Alto,CA,,400 Stanford Shopping Center,,94304
"619-692-9100, 800-200-0522",San Diego,,,,Canada,,,"Mon.- 10:00AM - 8:00PM, Tue.- 10:00AM - 8:00PM, Wed.- 10:00AM - 8:00PM, Thu.- 10:00AM - 8:00PM, Fri.- 10:00AM - 8:00PM, Sat.- 10:00AM - 8:00PM, Sun.- 11:00AM - 7:00PM",Neiman Marcus San Diego,CA,,7027 Friars Road,,92108
"415-362-3900, 877-634-6264",San Francisco,,,,Canada,,,"Mon.- 10:00AM - 7:00PM, Tue.- 10:00AM - 7:00PM, Wed.- 10:00AM - 7:00PM, Thu.- 10:00AM - 8:00PM, Fri.- 10:00AM - 7:00PM, Sat.- 10:00AM - 7:00PM, Sun.- 12:00PM - 6:00PM",Neiman Marcus San Francisco,CA,,150 Stockton Street,,94108
"818-316-7000, 888-664-8404",Canoga Park,,,,Canada,,,"Mon.- 10:00AM - 8:00PM, Tue.- 10:00AM - 8:00PM, Wed.- 10:00AM - 8:00PM, Thu.- 10:00AM - 8:00PM, Fri.- 10:00AM - 8:00PM, Sat.- 10:00AM - 8:00PM, Sun.- 12:00PM - 7:00PM",Neiman Marcus Topanga,CA,,6550 Topanga Canyon Blvd.,,91303
"925-279-3000, 888-908-1158",Walnut Creek,,,,Canada,,,"Mon.- 10:00AM - 8:00PM, Tue.- 10:00AM - 8:00PM, Wed.- 10:00AM - 8:00PM, Thu.- 10:00AM - 8:00PM, Fri.- 10:00AM - 8:00PM, Sat.- 10:00AM - 8:00PM, Sun.- 11:00AM - 7:00PM",Neiman Marcus Walnut Creek,CA,,"Broadway Plaza Shopping Center, 1000 South Main Street",,94596
"303-329-2600, 877-777-5324",Denver ,,,,Canada,,,"Mon.- 10:00AM - 8:00PM, Tue.- 10:00AM - 8:00PM, Wed.- 10:00AM - 8:00PM, Thu.- 10:00AM - 8:00PM, Fri.- 10:00AM - 8:00PM, Sat.- 10:00AM - 7:00PM, Sun.- 12:00PM - 6:00PM",Neiman Marcus Denver,CO,,3030 E 1st Ave,,80206
202-625-0893,Washington,,,,Canada,,,"Mon.- 10:00AM - 8:00PM, Tue.- 10:00AM - 8:00PM, Wed.- 10:00AM - 8:00PM, Thu.- 10:00AM - 9:00PM, Fri.- 10:00AM - 9:00PM, Sat.- 10:00AM - 9:00PM, Sun.- 12:00PM - 6:00PM",Neiman Marcus Georgetown - Cusp,DC,,"3030 M Street, NW",,20007
"202-966-9700, 877-634-6261",Washington ,,,,Canada,,,"Mon.- 10:00AM - 8:00PM, Tue.- 10:00AM - 8:00PM, Wed.- 10:00AM - 8:00PM, Thu.- 10:00AM - 8:00PM, Fri.- 10:00AM - 8:00PM, Sat.- 10:00AM - 7:00PM, Sun.- 12:00PM - 6:00PM",Neiman Marcus Mazza Gallerie,DC,,5300 Wisconsin Avenue NW,,20015
"305-865-6161, 888-884-6136",Bal Harbour,,,,Canada,,,"Mon.- 10:00AM - 9:30PM, Tue.- 10:00AM - 9:30PM, Wed.- 10:00AM - 9:30PM, Thu.- 10:00AM - 9:30PM, Fri.- 10:00AM - 9:30PM, Sat.- 10:00AM - 9:30PM, Sun.- 12:00PM - 7:00PM",Neiman Marcus Bal Harbour,FL,,9700 Collins Avenue,,33154
"561-417-5151, 800-680-9039",Boca Raton,,,,Canada,,,"Mon.- 10:00AM - 9:00PM, Tue.- 10:00AM - 9:00PM, Wed.- 10:00AM - 9:00PM, Thu.- 10:00AM - 9:00PM, Fri.- 10:00AM - 9:00PM, Sat.- 10:00AM - 9:00PM, Sun.- 12:00PM - 6:00PM",Neiman Marcus Boca Raton,FL,,5860 Glades Road,,33431
