store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Mor Furniture for Less | Lynnwood,,4029 Alderwood Mall Blvd ,,Lynnwood ,Washington,98036,United States, (866) 466-7435,,,"Sun:10:00 - 8:00, Mon:10:00 - 9:00, Tue:10:00 - 9:00, Wed:10:00 - 9:00, Thur:10:00 - 9:00, Fri:10:00 - 9:00, Sat:10:00 - 9:00",,,
Mor Furniture for Less | Mesa,,1515 S Power Rd ,,Mesa ,Arizona,85206,United States, (866) 466-7435,,,"Sun:10:00 - 8:00, Mon:10:00 - 9:00, Tue:10:00 - 9:00, Wed:10:00 - 9:00, Thur:10:00 - 9:00, Fri:10:00 - 9:00, Sat:10:00 - 9:00",,,
Mor Furniture for Less | Kent,,8301 S 180th St ,,Kent ,Washington,98032,United States, (866) 466-7435,,,"Sun:10:00 - 8:00, Mon:10:00 - 9:00, Tue:10:00 - 9:00, Wed:10:00 - 9:00, Thur:10:00 - 9:00, Fri:10:00 - 9:00, Sat:10:00 - 9:00",,,
Mor Furniture for Less | 44th & E McDowell,,4416 E McDowell Rd ,,Phoenix ,Arizona,85008,United States, 866-466-7435,,,"Sun:10:00 - 8:00, Mon:10:00 - 9:00, Tue:10:00 - 9:00, Wed:10:00 - 9:00, Thur:10:00 - 9:00, Fri:10:00 - 9:00, Sat:10:00 - 9:00",,,
Mor Furniture for Less | Fresno,,5156 N Blackstone Ave ,,Fresno ,California,93710,United States, (866) 466-7435,,,"Sun:10:00 - 8:00, Mon:10:00 - 9:00, Tue:10:00 - 9:00, Wed:10:00 - 9:00, Thur:10:00 - 9:00, Fri:10:00 - 9:00, Sat:10:00 - 9:00",,,
Mor Furniture for Less | Miramar,,6965 Consolidated Way ,,San Diego ,California,92121,United States, (866) 466-7436,,,"Sun:10:00 - 8:00, Mon:10:00 - 9:00, Tue:10:00 - 9:00, Wed:10:00 - 9:00, Thur:10:00 - 9:00, Fri:10:00 - 9:00, Sat:10:00 - 9:00",,,
Mor Furniture for Less | Lacey,,5400 Martin Way East Suite F ,,Lacey ,Washington,98516,United States, 866-466-7435,,,"Sun:10:00 - 8:00, Mon:10:00 - 9:00, Tue:10:00 - 9:00, Wed:10:00 - 9:00, Thur:10:00 - 9:00, Fri:10:00 - 9:00, Sat:10:00 - 9:00",,,
Mor Furniture for Less | Albuquerque,,4920 Menaul Blvd NE ,,Albuquerque ,Mexico,87110,United States, (866) 466-7435,,,"Sun:10:00 - 8:00, Mon:10:00 - 9:00, Tue:10:00 - 9:00, Wed:10:00 - 9:00, Thur:10:00 - 9:00, Fri:10:00 - 9:00, Sat:10:00 - 9:00",,,
Mor Furniture for Less | Bakersfield,,2200 Wible Rd ,,Bakersfield ,California,93304,United States, (866) 466-7435,,,"Sun:10:00 - 8:00, Mon:10:00 - 9:00, Tue:10:00 - 9:00, Wed:10:00 - 9:00, Thur:10:00 - 9:00, Fri:10:00 - 9:00, Sat:10:00 - 9:00",,,
Mor Furniture for Less | Delta Park,,1100 N Hayden Meadows Dr ,,Portland ,Oregon,97217,United States, (866) 466-7435,,,"Sun:10:00 - 8:00, Mon:10:00 - 9:00, Tue:10:00 - 9:00, Wed:10:00 - 9:00, Thur:10:00 - 9:00, Fri:10:00 - 9:00, Sat:10:00 - 9:00",,,
Mor Furniture for Less | Casa Grande,,1314-1 E. Florence Blvd ,,Casa Grande ,Arizona,85122,United States, 866-466-7435,,,"Sun:10:00 - 8:00, Mon:10:00 - 9:00, Tue:10:00 - 9:00, Wed:10:00 - 9:00, Thur:10:00 - 9:00, Fri:10:00 - 9:00, Sat:10:00 - 9:00",,,
Mor Furniture for Less | Cathedral City,,67555 East Palm Canyon Drive ,,Cathedral City ,California,92234,United States, (866) 466-7436,,,"Sun:10:00 - 8:00, Mon:9:00 - 8:00, Tue:9:00 - 8:00, Wed:9:00 - 8:00, Thur:9:00 - 8:00, Fri:9:00 - 8:00, Sat:9:00 - 8:00",,,
