phone_number,city,distributor_name,store_type,store_number,country,address2,longitude,store_hours,store_name,state,other_fields,address,latitude,zip_code
(310) 517-9366,Torrance,,,,United States,,-118.33517,"Sun - Thu : 11:00am to 09:00PM, Fri - Sat : 10:00pm to 10:00PM",Torrance Town Center,CA,,2777 Pacific Coast Hwy.,33.79355,90505
(520) 514-7004,Tucson,,,,United States,,-110.87973,"Sun - Thu : 10:30am to 09:00PM, Fri - Sat : 09:30pm to 09:30PM",Williams Center,AZ,,5285 E Broadway Blvd. Suite 151,32.2217399,85711
(661) 600-0132,Santa Clarita,,,,United States,,-118.55855,"Sun - Thu : 11:00am to 09:00PM, Fri - Sat : 10:00pm to 10:00PM",Valencia Crossroads,CA,,24250 Valencia Blvd.,34.4131,91355
(281) 240-1931,Sugar Land,,,,United States,,-95.625489,"Sun - Thu : 11:00am to 09:00PM, Fri - Sat : 10:00pm to 10:00PM",Town Center Lakeside,TX,,16101 Kensington Dr.,29.59861,77479
(214) 765-9911,Dallas,,,,United States,,-96.806569,"Sun - Thu : 11:00am to 09:00PM, Fri - Sat : 09:00pm to 09:00PM",Preston Center Pavilion,TX,,8305 Westchester Dr.,32.86366,75225
(720) 532-5999,Denver,,,,United States,,-104.90356,"Sun - Thu : 11:00am to 09:00PM, Fri - Sat : 09:00pm to 09:00PM",Lowry Town Center,CO,,"200 Quebec St. Bldg. 100, Suite 115",39.71996,80230
(281) 885-5430,Houston,,,,United States,,-95.508679,"Sun - Thu : 11:00am to 09:00PM, Fri - Sat : 10:00pm to 10:00PM",Champions Village,TX,,5203 FM 1960 W Suite E,29.98224,77069
(936) 271-9217,Shenandoah,,,,United States,,-95.45022,"Sun - Thu : 10:30am to 09:00PM, Fri - Sat : 10:00pm to 10:00PM",,TX,,19075 IH 45 S Suite 480,30.17911,77385
(702) 898-6730,Henderson,,,,United States,,-115.04111,"Sun - Thu : 11:00am to 09:00PM, Fri - Sat : 10:00pm to 10:00PM",Sunset & Stephanie,NV,,1311 W Sunset Rd Suite 120,36.06369,89014
(469) 948-9000,Lewisville,,,,United States,,-96.970219,"Sun - Thu : 11:00am to 09:00PM, Fri - Sat : 10:00pm to 10:00PM",LakePoint,TX,,713 Hebron Pkwy. Suite 200,33.00911,75057
(303) 215-1933,Lakewood,,,,United States,,-105.15657,"Sun - Thu : 11:00am to 09:00PM, Fri - Sat : 09:00pm to 09:00PM",,CO,,14255 Colfax Dr.,39.73678,80401
