phone_number,city,distributor_name,store_type,store_number,country,address2,longitude,store_hours,store_name,state,other_fields,address,latitude,zip_code
212-229-0875,New York,,,,United States,,,"Sun: 10a - 8p, Mon-Sat: 9a - 9:30p",New York,NY,,620 Ave. Of The Americas,,10011
212-587-8459,New York,,,,United States,,,"Sun: 10a - 7p, Mon-Fri: 8a - 9p, Sat: 9a - 9p",New York,NY,,14 Wall Street,,10005
718-260-8050,Brooklyn,,,,United States,,,"Sun: 11a - 8p, Mon-Sat: 9a - 9p",Brooklyn,NY,,503 Fulton St,,11201
212-486-2142,New York,,,,United States,,,"Sun: 10a - 8p, Mon-Sat: 9a - 9p",New York,NY,,407 East 59th St,,10022
212-245-6201,New York,,,,United States,,,"Sun: 10a-8p, Mon-Fri: 8a-9p, Sat: 9a-9p",New York,NY,,250 West 57th St,,10107
212-222-0543,New York (Columbus Village),,,,United States,,,"Sun: 10a - 8p, Mon-Sat: 9a - 9p",New York (Columbus Village),NY,,808 Columbus Ave,,10025
201-866-6279,Secaucus,,,,United States,,,"Sun: 10a - 8p, Mon-Sat: 9:30a - 9:30p",Secaucus,NJ,,21 Mill Creek Dr,,07094
201-840-7999,Edgewater,,,,United States,,,"Sun: CLOSED, Mon- Sat: 9:30a - 9:30p",Edgewater,NJ,,477 River Road,,07020
212-348-1902,Harlem,,,,United States,,,"Sun: 11a - 8p, Mon-Sat: 9:30a - 9p",Harlem,NY,,5 West 125th St,,10027
718-326-2158,Glendale,,,,United States,,,"Sun: 11a - 8p, Mon-Sat: 9:30a - 9:30p",Glendale,NY,,80 - 16 Cooper Ave,,11385
718-271-8457,Rego Park (Queens),,,,United States,,,"Sun: 11a - 8p, Mon-Sat: 9:30a - 9:30p",Rego Park (Queens),NY,,6101 Junction Blvd.,,11374
201-339-8312,Bayonne,,,,United States,,,"Sun: 9a - 8p, Mon-Sat: 9a - 9:30p",Bayonne,NJ,,105 LeFante Way,,07002
718-759-9830,Brooklyn,,,,United States,,,"Sun: 10a - 8p, Mon-Sat: 9a - 9:30p",Brooklyn,NY,,502 86th St,,11209
718-235-0892,Brooklyn,,,,United States,,,"Sun: 10a - 8p, Mon-Sat: 9a - 9:30p",Brooklyn,NY,,410 Gateway Drive,,11239
718-336-1194,Brooklyn,,,,United States,,,"Sun: 10a - 8p, Mon-Sat: 9a - 9:30p",Brooklyn,NY,,1630 East 15th St,,11229
718-353-2727,College Point,,,,United States,,,"Sun: 10a - 9p, Mon-Sat: 9:30a - 9:30p",College Point,NY,,136-03 20th Avenue,,11356
718-378-5780,Bronx,,,,United States,,,"Sun: 11a - 8p, Mon-Sat: 9:30a - 9:30p",Bronx,NY,,961 E 174th St,,10460
201-460-0365,Lyndhurst,,,,United States,,,"Sun: CLOSED, Mon-Sat: 9:30a - 9:30p",Lyndhurst,NJ,,423 Valley Brook Ave,,07071
718-820-8590,Fresh Meadows,,,,United States,,,"Sun: 11a - 8p, Mon-Sat: 9:30a - 9:30p",Fresh Meadows,NY,,176-60 Union Turnpike,,11366
718-822-6090,Bronx,,,,United States,,,"Sun: 11a - 8p, Mon-Sat: 9:30a - 9:30p",Bronx,NY,,815 Hutchinson River Pwy,,10465
718-876-1995,Staten Island,,,,United States,,,"Sun: 11a - 8p, Mon-Sat: 9:30a - 9:30p",Staten Island,NY,,1509 Forest Avenue,,10302
718-933-8790,Bronx,,,,United States,,,"Sun: 11a - 8p, Mon-Sat: 9:30a - 9:30p",Bronx,NY,,1 Fordham Plaza,,10458
718-601-1501,Bronx,,,,United States,,,"Sun: 11a - 8p, Mon-Sat: 9:30a - 9:30p",Bronx,NY,,171 W 230th St,,10463
718-980-4150,Staten Island,,,,United States,,,"Sun: 11a - 8p, Mon-Sat: 9:30a - 9:30p",Staten Island,NY,,2530 Hylan Boulevard,,10306
201-845-5755,Saddle Brook,,,,United States,,,"Sun: CLOSED, Mon-Sat: 9:30a - 9:30p",Saddle Brook,NJ,,189 Route 46 West,,07663
323-296-5935,Los Angeles,,,,United States,,,"Sun: 11a - 7p, Mon-Sat: 10a - 9p",Los Angeles,CA,,3650 M.L. King Jr. Blvd,,90008
562-904-3171,Downey,,,,United States,,,"Sun: 11a - 8p, Mon-Sat: 9:30a - 9:30p",Downey,CA,,9050 Apollo Way,,90242
310-355-0012,Hawthorne,,,,United States,,,"Sun: 11a - 8p, Mon-Sat: 9:30a - 9:30p",Hawthorne,CA,,14501 Ocean Gate Ave,,90250
